NO;시군구;번지;본번;부번;단지명;전용면적(㎡);계약년월;계약일;거래금액(만원);동;층;매수자;매도자;건축년도;도로명;해제사유발생일;거래유형;중개사소재지;등기일자;주택유형
1;서울특별시 도봉구 창동;30;0030;0000;창동주공18단지;45.9000;202508;18;45,800;-;13;개인;개인;1988;노해로70길 119;-;중개거래;서울 도봉구;-;아파트
2;서울특별시 구로구 구로동;685-223;0685;0223;주공2;41.3000;202508;18;53,000;-;4;개인;개인;1987;구일로4길 22;-;중개거래;서울 구로구;-;아파트
3;서울특별시 구로구 구로동;642-9;0642;0009;한신;44.7800;202508;18;42,500;-;2;개인;개인;1988;구일로8길 63;-;중개거래;서울 구로구;-;아파트
4;서울특별시 관악구 봉천동;1712;1712;0000;관악드림(동아);114.7500;202508;18;107,000;-;6;개인;개인;2003;성현로 80;-;중개거래;서울 관악구;-;아파트
5;서울특별시 송파구 방이동;51-4;0051;0004;올림픽카운티;56.2200;202508;18;57,500;-;9;개인;개인;2003;백제고분로 497;-;중개거래;서울 송파구;-;아파트
6;서울특별시 영등포구 양평동2가;38-1;0038;0001;삼성래미안;59.4000;202508;17;84,400;-;15;개인;개인;1998;영등포로3길 9;-;중개거래;서울 영등포구;-;아파트
7;서울특별시 금천구 시흥동;1013;1013;0000;관악산벽산타운5;84.9700;202508;17;54,500;-;11;개인;개인;2004;금하로 816;-;중개거래;서울 금천구;-;아파트
8;서울특별시 영등포구 도림동;821;0821;0000;영등포아트자이;84.9740;202508;16;131,000;-;11;개인;개인;2014;도영로 66;-;중개거래;서울 영등포구;-;아파트
9;서울특별시 구로구 개봉동;478;0478;0000;한진;59.9500;202508;16;51,500;-;5;개인;개인;2000;개봉로3길 87;-;중개거래;서울 구로구;-;아파트
10;서울특별시 영등포구 도림동;821;0821;0000;영등포아트자이;84.9740;202508;16;131,000;-;11;개인;개인;2014;도영로 66;20250816;중개거래;서울 영등포구;-;아파트
11;서울특별시 영등포구 영등포동1가;94-2;0094;0002;여의도더리브스타일;14.8376;202508;16;18,500;-;12;개인;개인;2020;경인로 900;-;중개거래;서울 영등포구;-;아파트
12;서울특별시 구로구 고척동;296;0296;0000;대우;59.9600;202508;16;56,000;-;11;개인;개인;1999;고척로52길 53;-;중개거래;서울 구로구;-;아파트
13;서울특별시 구로구 고척동;296;0296;0000;대우;59.9700;202508;16;54,000;-;2;개인;개인;1999;고척로52길 48;-;중개거래;서울 구로구;-;아파트
14;서울특별시 강동구 상일동;514;0514;0000;고덕롯데캐슬베네루체;84.9230;202508;16;144,500;-;2;개인;개인;2019;상암로79길 88;-;중개거래;서울 강동구;-;아파트
15;서울특별시 강동구 명일동;359;0359;0000;래미안솔베뉴;49.6600;202508;16;135,000;-;13;개인;개인;2019;양재대로 1650;-;중개거래;서울 강동구;-;아파트
16;서울특별시 강동구 천호동;217-132;0217;0132;동아하이빌아파트;59.9800;202508;16;71,000;-;22;개인;개인;2000;구천면로 278;-;중개거래;서울 강동구;-;아파트
