제목,링크,내용
"우크라 동부, 러시아에 넘어가나…트럼프 ""러시아는 강대국, 우크라는 그렇지 않아"" ",https://www.pressian.com/pages/articles/2025081712091993121,"도널드 트럼프 미국 대통령이 블라디미르 푸틴 러시아 대통령, 볼로디미르 젤렌스키 우크라이나 대통령과 3자 회담을 제안한 것으로 전해졌다. 푸틴 대통령과 회담을 마친 이후 젤렌스키 대통령과 회담을 예정하고 있는 트럼프 대통령이 휴전을 완성시키기 위해 실질적인 행동에 나선 것 아니냐는 관측이 나온다.

16일(이하 현지시간) 미국 매체 <악시오스>는 소식통을 인용해 트럼프 대통령이 지난 15일 알래스카에서 푸틴 대통령과 회담 후 젤렌스키 대통령 및 유럽 정상들과 전화 통화를 하며 ""이르면 다음주 금요일(22일)에 푸틴 대통령 "
"김종인, 이 대통령에 ""트럼프 만나러 가면서 왜 이시바 먼저 만나나? 불쾌할수도"" ",https://www.pressian.com/pages/articles/2025081521131492803,"김종인 전 국민의힘 비상대책위원장이 이재명 대통열의 한일 정상회담을 두고 ""트럼프 대통령을 만나러 가면서 왜 먼저 이시바 총리를 만나야 하는지 묻고 싶다""고 지적했다.

김 전 위원장은 15일 CBS라디오에 출연해 ""그동안 대한민국 대통령이 되면 1차적으로 만나는 사람이 미국 대통령이었다""며 이 같이 말했다.

이재명 대통령과 이시바 일 총리는 23일 일본 도쿄에서 한일 정상회담을 앞두고 있다. 트럼프 미국 대통령과의 정상회담은 25일이다.

김 전 위원장은 ""우리나라 대통령이 당선돼서 미국을 먼저 가는 거는 다른 게 아니라 미국과 "
"관세 협상, '선방' 아닌 '선빵' 맞은 것 같은 한국…안보 문제도 트럼프가 말하는 대로? ",https://www.pressian.com/pages/articles/2025081510451424315,"한미정상회담을 앞두고 미국정부는 '동맹현대화'라는 명분으로 주한미군의 전략적 유연성 확대와 함께 한미동맹의 범위 역시 대중국 견제로 확장할 것을 요구하고 있습니다. 아울러 한국의 국방비 및 주한미군 주둔비 부담금(방위비 분담금) 증액을 압박하고 있습니다. 중국과 인접한 한국으로서는 안보와 경제에 심대한 위기가 초래될 수밖에 없는 중차대한 문제에 직면해 있습니다.

빛의 혁명 이후 맞이한 광복80주년을 기념해 자주통일평화연대(전 6.15남측위원회)는 주권과 평화를 위협하는 한미동맹의 위험성, 한미연합군사훈련 중단의 필요성, 한미정상회 "
"트럼프와 만난 유럽 정상들 ""좋은 대화"" 만족 표시…트럼프도 ""10점 만점"" ",https://www.pressian.com/pages/articles/2025081417241580851,"15일(이하 현지시간) 미국 알래스카에서 열릴 미-러 정상회담에 앞서 도널드 트럼프 대통령에게 우크라이나전 관련 협상 기준선을 제시한 유럽 정상들이 낙관론을 표명했다. 트럼프 대통령 역시 ""10점 만점"" 회의였다며 긍정적 반응을 보였고 회담 뒤에도 러시아가 휴전에 동의하지 않으면 ""심각한 결과""가 있을 것이라고 밝혔다.

그러면서도 트럼프 대통령은 이번 회담 목적은 볼로디미르 젤렌스키 우크라이나 대통령을 포함한 후속 3자 회담을 이끌어내는 것이라고 기대치를 낮췄다. 충성파 위주 인사 및 국가안보회의(NSC) 축소로 트럼프 정부의 외 "
"미·러 정상회담 ""듣기 연습""? 기대 낮추는 백악관…러우 전쟁 휴전 합의 도출 어려울듯 ",https://www.pressian.com/pages/articles/2025081314402419746,"우크라이나전 휴전 협상에 진전을 가져올 수 있을지 주목을 모은 미·러 정상회담에서 의미 있는 합의가 도출될 것이라는 기대가 낮아지고 있다.

캐롤라인 레빗 미 백악관 대변인은 12일 언론 브리핑에서 오는 15일(이하 현지시간) 열릴 블라디미르 푸틴 러 대통령과의 정상회담을 도널드 트럼프 미 대통령의 ""듣기 연습(listening exercise)""으로 규정했다. 그는 미·러 정상회담이 ""대통령에게 듣기 연습이다. 이 전쟁에 연루된 한 당사자만 참석한다""며 회담을 통해 트럼프 대통령이 ""우리가 이 전쟁 종식을 어떻게 가져올 수 있을지 "
"관세로 동맹국 압박하는 트럼프, 안보 문제에도 관세 이용하나 ",https://www.pressian.com/pages/articles/2025081111140907871,"8월 25일에 개최될 것으로 보이는 한미정상회담을 앞두고 미국이 '동맹의 현대화'를 앞세워 한국에 대한 압박 수위를 높이고 있다. 8월 9일자 <워싱턴포스트>가 입수해 보도한 트럼프 행정부의 내부 문건과 최근 주한미군 사령관의 기자회견은 이를 상징적으로 보여준다.

<워싱턴포스트>에 따르면, 트럼프 행정부는 관세를 무역 불균형 해소 수단으로 사용하고 있을 뿐만 아니라 국가안보상의 목적에 부응하는 '전략적 도구'로도 폭넓게 활용하고 있다. 관세 협상을 무기화해 외교안보 문제에 있어서도 '미국 우선주의'를 관철하려 "
"푸틴과 정상회담 앞둔 트럼프, 영토 포기 못한다는 젤렌스키에 ""매우 동의하지 않아"" ",https://www.pressian.com/pages/articles/2025081216230540260,"오는 15일 미국과 러시아 정상회담을 통해 러시아-우크라이나 전쟁에 새로운 국면이 조성될지 관심이 모아지는 가운데, 도널드 트럼프 미국 대통령은 영토 문제와 관련해 볼로디미르 젤렌스키 우크라이나 대통령의 의견에 동의하지 않는다며 공개적으로 불만을 드러냈다.

11일(이하 현지시간) 미 정치전문매체 <더힐>은 트럼프 대통령이 러시아에 영토를 할양하는 것을 거부한 젤렌스키 대통령과 ""매우 매우 심각하게"" 의견이 다르다고 밝혔다고 보도했다. 매체에 따르면 트럼프 대통령은 백악관에서 기자들과 만나 ""젤렌스키 대통령과 좋은 관계를 "
"트럼프, 중국은 부담스러웠나…인도에는 관세 때리더니 중국엔 '관세 유예 연장' ",https://www.pressian.com/pages/articles/2025081217510508901,"11일(이하 현지시간) 도널드 트럼프 미국 대통령이 중국 관세 유예 만료 직전에 이를 다시 90일 연장하는 행정명령에 서명했다. 러시아 원유 수입을 이유로 인도에 고율 관세를 부과한 트럼프 대통령이 중국과는 현상 유지를 택한 것을 두고 미·중 정상회담 가능성을 염두에 둔 결정이라는 분석이 나온다.

희토류 수출 통제 등 중국이 가진 협상패가 생각보다 강력했다는 평가와 더불어 미국이 중국산 소비재에 의존 중인 가운데 미국 소비의 상당 부분이 이뤄지는 연말이 다가오고 있는 점도 부담이었을 것으로 보인다. 다만 양국 무역 규모는 6월 기 "
"李대통령, 오는 25일 트럼프와 한미정상회담 ",https://www.pressian.com/pages/articles/2025081211315028887,"이재명 대통령과 도널드 트럼프 미국 대통령의 첫 정상회담이 오는 25일(현지시간) 미국 워싱턴DC에서 개최된다.

대통령실 강유정 대변인은 이날 서울 용산 대통령실에서 브리핑을 통해 ""이 대통령은 트럼프 대통령의 초청으로 25일 한미 정상회담 개최를 위해 24일부터 26일까지 미국을 방문할 예정""이라고 밝혔다.

강 대변인은 ""두 정상은 변화하는 국제안보 및 경제 환에 대응해 한미동맹을 미래형 포괄적 전략동맹으로 발전시키는 방안을 논의할 예정""이라며 ""굳건한 한미연합방위태세를 강화하는 가운데 한반도 평화 구축과 비핵화를 위한 공조 "
완성차기업 예상손실만 110억 달러…'트럼프 관세'는 누가 부담할까? ,https://www.pressian.com/pages/articles/2025081012331074529,"지난 7일 스콧 베선트 미국 재무장관이 MSNBC 방송에 출연해 진행자 유진 로빈슨과 나눈 얘기이다.

스콧 베선트 : 브라질에 50% 관세가 부과됩니다. 만약 수입업자가 브라질산 제품을 사서 수입하려 한다면, 재무부를 통해 50%를 내야 합니다.

유진 로빈슨 : 그럼 그 돈(관세)은 누가 냅니까?

스콧 베선트 : 음, 몇 가지가 있습니다. 대체 수입처가 있을 수 있어서 브라질에서만 오는 것은 거의 없습니다. 아르헨티나에서 올 수도 있고. 또 ….

유진 로빈슨 : 하지만 가정해 봅시다. 브라질에서 온다고 말이죠. 아니면 어떤 "
